hash,label,question,guidance,code
TH65,Governance|Multi-stakeholder engagement,"What policy initiatives exist to promote a broad and diversified public engagement with citizens, including underrepresented and marginalised groups in research and innovation  policy making?","Initiatives and policy mechanisms to promote the participation of citizens or stakeholders in STI policymaking
(e.g. participatory agenda setting, governance processes). Policies promoting co-design of governance 
solutions, including schemes to support the integration or weaving of traditional or local knowledge into STI 
policymaking or decision-making.",1.11
TH16,Public research system|Public research debates,"Briefly, what are the main ongoing policy debates around government support for the public research system?","Your answer should provide a synthetic open text of 2 to 3 paragraphs describing the current main debates around the public research system and relevant policy, including emerging visions and shifts in policy direction. 
A policy debate may include various positions or options regarding policy support to the public research system. These may be expressed in different settings such as government bodies, legislatures, the media, among research and innovation actors, etc. They may or may not have been followed up by concrete actions. Of particular interest are the different positions of various stakeholders and the different options considered during debates. Initiatives resulting from these debates should be reported in the different questions on policy initiatives, as relevant. 
This statement will be used to create dashboards and notes in the STIP Compass portal.

",2.1
TH18,Public research system|Public research strategies,"What strategies, roadmaps or plans exist, if any, to provide strategic direction to research policy?","Strategy and/or plan related to the public research system.
Economic development strategy and plan that prominently includes a public research dimension.",2.2
TH19,Public research system|Competitive research funding,What are the main competitive schemes and programmes for funding research in universities and public research institutes?,"Main types of competitive award programmes from different research funding agencies or other public sector organisations (e.g. strategic programmes in specific domains, open schemes for bottom-up applications). Individual calls for proposals should not be reported.",2.3
TH20,Public research system|Non-competitive research funding,What are the main non-competitive schemes and programmes for funding research in universities and public research institutes?,"Block/institutional/core funding allocated to research performing organisations, with or without performance-based criteria or performance agreements.",2.4
TH27,Public research system|Third-party funding,What policy initiatives exist to promote funding of public research from non-government sources?,"Examples include: (1) Legal, regulatory, administrative reform of universities / public research institutes allowing increased revenues from third parties. (2) Incentives to promote increased revenues / attract funding and/or other types of innovation financing to public research from outside stakeholders, including the business sectors, financial investors such as banks /venture capitalists, charitable foundations (e.g. tax-based initiatives to encourage scientific philanthropy), etc. (3) Incentives to promote increased revenues and commercialization 
from technology transfer and licensing out research and innovation results (e.g. to spin-offs and other startups/scaleups).
Schemes for promoting collaborative research should be reported under question 4.3.",2.5
TH22,Public research system|Structural change in the public research system,"What policy initiatives exist, if any, to support or lead structural changes in the public research system?","Incentives, regulations, guidelines and other types of interventions to provoke, promote, and orient changes in the landscape of public research actors (e.g. mergers, organisational separation, closure), their missions (e.g. increase/decrease of autonomy of universities) and their linkages (e.g. formal partnerships between research actors), as well as downscale certain activities or priorities.",2.6
TH106,Public research system|Digital transformation of research-performing organisations,"What policy initiatives exist, if any, to help research-performing organisations upgrade their use of digital technologies (e.g. high-performance computing, big data analytics and artificial intelligence)?","Dedicated (or significant part of) programme, regulation or incentive supporting universities and research institutes to upgrade their use of digital technology in research, including their ability to implement the required organisational and management changes. Examples include financial support to purchase new digital equipment and infrastructure or upgrade existing ones and other measures strengthening digital capabilities and resources (e.g. computing capacity, access to data); policies promoting the use of AI in research; and schemes addressing regulatory and ethical challenges (e.g. data privacy; enabling trustworthiness, explainability, human-centricity in AI).",2.7
TH107,Public research system|Open access to publications,What policy initiatives exist to support open access to publications?,"Implementation of new scientific information facilities (e.g. national resource centres, database and repositories of scientific information, information analysis services, etc.).
Other policy measures, regulations, guidelines and incentives to promote open access (OA) to publications in scientific journals: new licenses or intellectual property rights provisions; funding mechanisms; legal reforms; development and use of alternative metrics; reforms of career management.
",2.8
TH108,"Public research system| Enhanced access 
to data and software",What policy initiatives exist to support enhanced access to research data and/or software?,"Policy measures, regulations, guidelines and incentives in support of access to research data, but also related metadata, as well as bespoke algorithms, workflows, models, and software (including code). In particular, policies supporting the implementation of the Recommendation of the OECD Council concerning Access to Research Data from Public Funding, and the Recommendation of the OECD Council on Enhancing Access to and Sharing of Data  should be reported, including in the areas of: Data governance for trust (�As open as possible, as closed as necessary�); Technical standards and practices (�FAIR� data, �CARE� data)); Responsibility, ownership and stewardship (Responsible data and software management, use of open licenses), Incentives and rewards (recognition of data/software publications, and citation scores thereof); Sustainable infrastructures for data sharing; and Human capital for data management and stewardship.
New services such as IT and cloud computing services, national resource centres, should also be reported here.",2.9
TH24,"Public research system|Research 
infrastructures and technology 
infrastructures","What are the main policy initiatives for funding the construction, operation of, and access to research infrastructures and technology infrastructures?","Specific research infrastructure projects and investments; Research infrastructure roadmaps; Equipment sharing schemes and mechanisms,  including making accessible infrastructures to new user communities; Inventories and databases of infrastructure and large equipment.
Countries are also asked to report on technology infrastructures such as those featured in Research and Technology Organisations (RTOs). Examples include demonstration and testing facilities, high-performance computing centres, etc.",2.10
TH25,Public research system|Internationalisation in public research,What are the main policy initiatives for promoting internationalisation in public research?,"Incentives to encourage the internationalisation of domestic universities and PRIs (e.g. international research and PhD mobility schemes and programmes).
Financial support to international collaborative R&D.
National initiatives to support financially and/or technically applications to and participation in international research programmes (incl. EU Framework Programmes).
Incentives to attract and retain staff from foreign universities and PRIs.
Initiatives promoting the development of or participation in international infrastructure projects or international research centres.
",2.11
TH26,Public research system|Cross-disciplinary research,"What are the main policy initiatives for promoting inter, multi and transdisciplinary research?","Schemes to promote collaboration between different disciplines.
Incentives to develop transversal skills for researchers, as well as to raise awareness of other research fields.
Policies supporting research and education infrastructures that facilitate knowledge circulation between disciplines.
Selection/evaluation criteria that better reward output from cross-disciplinary research, etc.
",2.12
TH23,Public research system|High-risk high-reward research,"What policy initiatives exist, if any, offering dedicated support to high-risk high-reward research?","High-risk, high-reward (HRHR) research is defined as research that (1) involves a high degree of novelty; and (2) carries a high risk of not realising its full ambition as well as the potential for transformational impact on a scientific, technological, or societal challenge.",2.13
TH21,Public research system|Research integrity and reproducibility,What are the main policy initiatives for promoting research integrity and reproducibility?,"Dedicated structures and bodies to prevent misconduct such as office/committee of research integrity; national mediator / ombudsman; codes of conduct and guidelines; education, training and awareness raising initiatives on scientific conduct.
Initiatives such as surveys to scientists in order to monitor the level of integrity; protection of and guidelines for whistle blowers; improvement of access to research data such as clinical trial registries; support and incentives for reproducibility studies; initiatives to deal with identified research misconducts and abuses, etc.
Any specific measures promoting integrity and reproducibility in AI-enabled research.",2.14
TH109,Public research system|Research security,What are the main policy initiatives for promoting research security and academic freedom?,"Dedicated initiatives to address concerns about information leakage and foreign interference in research, including safeguarding the freedom of scientific research. Example include legislation, guidelines, risk assessment procedures and awareness raising.
",2.15
TH28,Innovation in firms and innovative entrepreneurship|Business innovation policy debates,"Briefly, what are the main ongoing policy debates around government support to business innovation and innovative entrepreneurship?","Your answer should provide a synthetic open text of 2 to 3 paragraphs describing the current main debates around the business innovation system and relevant policy, including emerging visions and shifts in policy direction.
A policy debate may include various positions or options regarding policy support to business innovation. These may be expressed in different settings such as government bodies, legislatures, the media, among research and innovation actors, etc. They may or may not have been followed up by concrete actions. Of particular interest are the different positions of various stakeholders and the different options considered during debates. Initiatives resulting from these debates should be reported in the different questions on policy initiatives, as relevant. 
This statement will be used to create dashboards and notes in the STIP Compass portal.",3.1
TH30,Innovation in firms and innovative entrepreneurship|Business innovation policy strategies,"What strategies or plans exist, if any, to strategically direct government support to business innovation, including innovative startups and/or scaling up innovative ventures?","Innovation strategy and plan; economic development strategy and plan that gives prominence to business innovation, including innovative startups and/or scaling up innovative ventures.",3.2
TH31,Innovation in firms and innovative entrepreneurship|Financial support to business R&D and innovation,What are the main policy initiatives for providing financial support to business R&D and innovation?,"Dedicated (or significant part of) scheme, programme or subsidies (direct or indirect, incl. tax incentives) to finance or provide incentive to raise funding for business R&D and innovationn (including technological, process-based, business model, and other forms of innovation); debt financing instruments (loans, credit guarantees schemes or risk-sharing mechanisms);  direct equity government/corporate venture capital.",3.3
TH32,"Innovation in firms and innovative entrepreneurship|Non-financial  and 
regulatory support to business R&D and innovation",What are the main policy initiatives for providing non-financial  and regulatory support to business R&D and innovation?,"Dedicated (or significant part of) scheme, programme or incentive to support or promote business innovation (including technological, process-based, business model, and other forms of innovation), through the provision of information, technical expertise (e.g. through specialised programme managers or directors), training, mentoring, networking, marketing and advertising support, etc.;
Initiatives facilitating access to innovation support facilities (e.g. research equipment, ICT, networks, housing, etc.); access to a range of information and support services (e.g. training).
Schemes aiming to raise firms' innovation visibility and recognition (e.g. awards, prizes, high impact events, contests, etc.).
Dedicated conditions in the national legislation for innovative companies, including startups and scaleups, including under company law (establishment conditions, corporate governance, etc.), restructuring and insolvency law, etc.",3.4
TH38,Innovation in firms and innovative entrepreneurship|Access to finance for innovation,"What policy initiatives exist to promote firms' access to finance for innovation, including alternatives to traditional banking?","Dedicated (or significant part of) scheme, programme or incentive to promote firms' access to finance for innovation.
Incentives for business angels, venture capital investors (tax reliefs, etc.).
Public investment in investment banks and venture funds; public venture funds; specific regulations to promote venture capital, etc.",3.5
TH34,Innovation in firms and innovative entrepreneurship|Dynamic and entrepreneurial capabilities and culture,"What policy initiatives exist to foster a spirit and culture of entrepreneurship in businesses, and  to build the skills and ways of working needed to respond and adapt to rapidly changing environments?","Policy programmes to implement a culture of entrepreneurship, including awareness campaigns, entrepreneurs in residence, business acceleration services, or education initiatives (mass-media campaigns and big events, e.g. broadcasting programmes etc.).
Policy programmes that focus on improving the ability of industry to develop and iterate innovative and agile structures, processes and business models.
Promotion of exemplary entrepreneurship or business achievements (e.g. awards, prizes, contests, etc.). 
Partnerships between schools/universities and organisations such as venture capital firms and accelerator programmes).",3.6
TH33,"Innovation in firms and innovative entrepreneurship|Stimulating demand for innovation, experimentation, market creation  and access to market","What policy initiatives exist to stimulate demand for innovation, improve market access for innovations, and strengthen their ability to compete against established solutions?","Dedicated (or significant part of) scheme, programme or incentive to support the demand for innovation (e.g. user-driven programmes, programmes/incentives that support public buyers to implement public procurement of R&D and public procurement of innovative solutions, lead markets, customer programmes, advanced market commitments, etc.).
Initiatives supporting the early adoption and scale up of breakthrough ideas and new radical innovations (in terms of products, processes, business models, etc.) with the potential to disrupt, or destabilise, downscale, and potentially phase out existing solutions and create new markets.
Initiatives supporting regulatory sandboxes, innovation testbeds, measures for speeding up technology assessment and certification of innovations.",3.7
TH82,Innovation in firms and innovative entrepreneurship|Digital transformation of firms,"What policy initiatives exist, if any, to help firms upgrade their organisational and technological capabilities to undergo digital transformation?","Dedicated (or significant part of) scheme, programme or incentive to support firms to upgrade their use of digital technology including their ability to implement the required organisational and management changes. Examples include technology extension services (outreach to firms to identify their needs and help design suitable support), incentives (such as tax credits) and/or subsidies to purchase new digital equipment and infrastructure or upgrade existing ones, training and coaching, dissemination of information, for instance on use cases and best practices, for example through on-line portals, collaboration and partnership programmes, signposting to reliable private-sector service providers, and other business advisory and support services.
Initiatives to strengthen research and innovation in key sectors and technologies for digital innovation in firms. Examples include public-private research and innovation partnerships in specific business sectors, direct and indirect funding of research in firms, specialised research and innovation centres, innovation-oriented cluster policies, and platforms and forums.
Policies fostering the uptake of human-centric technologies or human-centric approaches in adopting digital technologies.",3.8
TH36,Innovation in firms and innovative entrepreneurship|Foreign direct investment  (FDI),What policy initiatives exist to attract knowledge-intensive foreign direct investment and promote transfers to domestic firms?,"Direct financial support (e.g. grants, loans, R&D subsidies, etc.); tax incentives for non-domiciled, foreign-owned firms (e.g. corporate tax, R&D tax etc.); provision of services and facilities (e.g. administrative or networking support, etc.).
Investment promotion policies (e.g. campaigns, events, websites, investment promotion agencies, etc.) to attract knowledge intensive FDI; provision of infrastructures (e.g. clusters, technology platforms, one-stop-shop etc.); public procurement of R&D and innovation; supply of human resources.
Any initiatives/programmes to maximise knowledge spill-overs from FDI: support to domestic supplier backward linkages (e.g. supplier development programme, SME-multinationals partnership and networks, Industrial Linkage Programme, etc.); training, coaching and mentoring for upgrading suppliers in cooperation with multinationals; specific regulation promoting/incentivising technology transfer from multinationals (e.g. local content regulation, domestic procurement rules, etc.); domestic supplier databases.
Any initiatives to mitigate potential negative effects of FDI.",3.9
TH35,Innovation in firms and innovative entrepreneurship|Targeted support to SMEs and young innovative enterprises,"What are the main policy initiatives specifically targeting research and innovation activities in SMEs, start-up, scale-ups and young innovative enterprises?","Dedicated (or significant part of) scheme, programme, incentive or instrument specifically targeted to support innovation in SMEs, start-ups, scale-ups and young innovative enterprises, including: specific grants and subsidies, direct equity; Small Business Innovation Research (SBIR)-type of schemes; innovation vouchers; measures that facilitate the participation of innovative SMEs in public procurement; Intellectual Property Rights (IPRs) support; technology extension services; business advisory services; programmes for cooperation involving large companies or public research organisations; specific conditions in R&D tax credits; any incentives or subsidies or network support to link domestic SMEs, start-ups, scale-ups and young innovative enterprises to foreign sources of R&D and innovation, etc.",3.10
TH39,Knowledge exchange and co-creation|Knowledge exchange and co-creation debates,"Briefly, what are the main ongoing policy debates around policy for knowledge exchange and co-creation (valorisation) involving academia, industry, government and society?","Your answer should provide a synthetic open text of 2 to 3 paragraphs describing the current main debates around the knowledge exchange and co-creation (valorisation) system and relevant policy, including emerging visions and shifts in policy direction.
A policy debate may include various positions or options regarding knowledge exchange and linkages in different national settings such as Parliament, government bodies and events, in the press, among scientific actors, etc. They may or may not have been followed up by concrete actions. Of particular interest are the different positions of the various stakeholders and the different options considered during the debates. Initiatives resulting from these debates should be reported in the different questions on policy initiatives, as relevant.
This statement will be used to create dashboards and notes in the STIP Compass portal.",4.1
TH41,Knowledge exchange and co-creation|Knowledge exchange and co-creation strategies,"What strategies or plans exist, if any, to strategically direct government support for knowledge exchange and co-creation (valorisation) ?","Plan or strategy emphasising knowledge rexchange, sharing and co-creation (valorisation) between different actors of the research and innovation system (science-industry, business-to-business, intermediary organisations, citizens, etc.).
",4.2
TH42,Knowledge exchange and co-creation|Collaborative research and innovation,"What are the main policy initiatives to promote collaboration between public researchers and other stakeholders, including business and citizens?","Dedicated (or significant part of) scheme, programme or incentive to support collaborative research and innovation between the public and private sectors and civil society (e.g. living labs; dedicated research programme for supporting collaborative projects; public-private partnerships (PPPs) or regulation promoting PPPs; public-private labs, platforms and research-industry research organisations). These initiatives might include efforts to repurpose or pivot established collaborations towards new priorities.
Respondents should also report citizen science (active engagement of citizens in scientific knowledge production) initiatives in this question. This might include participatory schemes to promote the active engagement of citizens and, in particular, underrepresented and marginalised groups (e.g., women, youth, ethnic minorities, Indigenous and/or local communities embodying traditional lifestyles, low-income groups, among others), in the design and/or conduct of research and innovation.",4.3
TH47,Knowledge exchange and co-creation|Cluster policies,What policy initiatives exist to promote geographical and/or thematic innovative clusters?,"Only national schemes should be included, covering things like the provision and implementation of networking infrastructures (e.g. new research centres, demonstrators, science parks, technology incubators, ""innovation' hubs, technology platforms, etc.).
Financial support to clusters activities, projects and cluster organisations; Incentives to strengthen liaisons between national and/or international clusters.
Incentives or support to networking activities between national clusters.
Other initiatives supporting thematic and/or place-based clusters,  including efforts to repurpose or pivot established collaborations towards new priorities.",4.4
TH43,Knowledge exchange and co-creation|Commercialisation of public research results,What policy initiatives exist to encourage commercialisation of public research results?,"Major policy initiatives may include a reform of universities and public research institutes for publicly funded research results, the establishment or consolidation of technology and knowledge transfer offices and licensing offices at universities and PRIs, a revision of performance criteria of research performing institutes and R&D personnel, training and mentoring for academic staff, creation of spin-offs, incubators and accelerators, the provision of new demonstrator or proof-of-concept funding, etc.
",4.5
TH44,Knowledge exchange and co-creation|Inter-sectoral mobility,What policy initiatives exist to encourage mobility of human resources between the public and private sectors?,"Policy initiatives to foster industry-science mobility of academics, researchers and/or policymakers. Examples include reforms of the rules governing public sector employment, the implementation of secondment schemes, policy initiatives to improve pension portability, various incentives for researchers and/or companies and subsidised employment (incl. internships). Any initiative rewarding researchers for their mobility or their engagement with industry or the society.
",4.6
TH46,"Knowledge exchange and co-creation|Intellectual assets management, including IP protection and 
licensing policies in public research","What policy initiatives exist to improve intellectual assets management, and to foster intellectual property protection and licensing in public research that are conducive to promoting innovation (and valorisation)?","Reform of IPRs legislation, and/or revision or strengthening of intellectual assets management policies and practices in public research (Bayh-Dole Act type of reform, professor privilege, etc.).
Dedicated financial and non-financial scheme, programme, incentive or instrument to support IPR protection and management in public research organisations (subsidies, training, information campaign, etc.).
Reforms of IPR licensing and transfer policies in public research organisations that make it more attractive and easier for innovators to commercialise public research results (e.g. not requiring fixed annual licensing fees, but royalties based on profits generated in case of successful commercialisation). 
Dedicated body to support IPR in public research.",4.7
TH48,Human resources for research and innovation|STI human resources debates,"Briefly, what are the main ongoing policy debates around government support for human resources for research and innovation?","Your answer should provide a synthetic open text of 2 to 3 paragraphs describing the current main debates around the STI human resources system and relevant policy, including emerging visions and shifts in policy direction. 
A policy debate may include various positions or options regarding policy support for human resources relevant to research and innovation. These may be expressed in different settings such as government bodies, legislatures, the media, among research and innovation actors, etc. They may or may not have been followed up by concrete actions. Of particular interest are the different positions of various stakeholders and the different options considered during debates. Initiatives resulting from these debates should be reported in the different questions on policy initiatives, as relevant. 
This statement will be used to create dashboards and notes in the STIP Compass portal.",5.1
TH50,Human resources for research and innovation|STI human resources strategies,"What strategies or plans exist, if any, to strategically direct government support to human resources for research and innovation?",Plan or strategy emphasising the development of human resources for research and innovation.,5.2
TH51,Human resources for research and innovation|STEM skills,What are the main policy initiatives for nurturing general STEM skills?,"Revision of academic curricula to improve training in specific fields (e.g. mathematics, science, technical skills, etc.). 
Introduction of new learning practices and new instructional tools (e.g. increased use of digital technologies, cooperative learning exercises etc.). 
Additional training of teachers; involvement of outside stakeholders; assessment and evaluation of student performance in STEM, etc.
",5.3
TH52,Human resources for research and innovation|Doctoral and postdoctoral researchers,What policy initiatives exist to specifically support doctoral and postdoctoral research and education?,"Dedicated support for doctoral programmes and postdoctoral programmes.
Rules and schemes for doctoral and postdoctoral programmes evaluation.
Support to industry involvement in PhD training schemes (e.g. industrial PhD programmes, fiscal incentives, etc.).
Reform of PhD training (e.g. training of transferable skills for future researchers etc.).
Career guidance and information to students regarding funding/job opportunities in the public and private sectors.
Schemes for financing/promoting PhDs in business or public firms.
",5.4
TH53,Human resources for research and innovation|Research careers,What policy initiatives exist to make research careers more attractive?,"Creation of new job opportunities in Public Research Institutes (PRIs) and universities (e.g. new chairs, new job positions, secondments etc.).
Tenure system; Improved working conditions and salaries including financial rewards (e.g. stipends, social benefits, tax incentives, etc.) and non-financial incentives (e.g. autonomy, independence, reputation, provision of support staff, facilities, etc.) for researchers.
Reform of employment conditions of researchers in the public and private sectors to ensure 'flexicurity', inter-sectoral mobility and life-long employability and to promote transparency in career paths (e.g. tenure track systems, legal status, pension portability, activities related to the European Framework for Research Careers.); initiatives to reduce precarity and promote different career options, including for innovators and staff supporting innovation.
",5.5
TH55,Human resources for research and innovation|International mobility of human resources,What policy initiatives exist to encourage international mobility of researchers?,"Policy initiatives to foster international mobility of researchers. Examples include the reform of the rules governing public sector employment, reform of researcher recruitment rules, policy initiatives to improve international pension portability, various incentives for researchers and/or companies, subsidised employment (incl. internships), and fellowships targeted at overseas researchers.
",5.6
TH54,"Human resources for research and innovation|Equity, diversity and inclusion (EDI)",What policy initiatives exist to promote the participation of women and other under-represented or marginalised groups in research and innovation activities?,"Targeted measures aiming to reduce diversity gaps or to better include under-represented or marginalised groups (e.g., women, youth, ethnic minorities, Indigenous and/or local communities embodying traditional lifestyles, low-income groups, among others) in research and innovation. Examples include:
Quotas, regulations and rules for ensuring equal work opportunities in universities and PRIs.
Access to senior positions in academia, high level offices, research councils, etc.
Engaging with national research funding organisations to support the integration and evaluation of gender and other demographic perspectives in research and innovation content, and for mitigating demographic biases in research assessment.
Measures to ensure work-family balance (e.g. part-time arrangements, parental leave, etc.).
Efforts to co-design education and training approaches in partnership with Indigenous and local communities and other underrepresented or marginalised groups.",5.7
TH56,Research and innovation for society|Policy debates on innovation for societal challenges,"Briefly, what are the current main policy debates around how policy for research and innovation can help address societal challenges? If applicable, please elaborate on how the Sustainable Development Goals (SDGs) are being incorporated into STI policy objectives, design and implementation.","Your answer should provide a synthetic open text of 2 to 3 paragraphs describing the current main debates around the use of research and innovation to address societal challenges, including emerging visions and shifts in policy direction. Please report debates related to net zero transitions separately in question M.1.1.
A policy debate may include various positions or options regarding policy action to orient research and innovation activities towards meeting societal challenges. These may be expressed in different settings such as government bodies, legislatures, the media, among research and innovation actors, etc. They may or may not have been followed up by concrete actions. Of particular interest are the different positions of various stakeholders and the different options considered during debates. Initiatives resulting from these debates should be reported in the different questions on policy initiatives, as relevant. 
This statement will be used to create dashboards and notes in the STIP Compass portal.",6.1
TH58,Research and innovation for society|Research and innovation for society strategy,"What strategies or plans exist, if any, to strategically direct government support for research and innovation specifically targeted at societal well-being and cohesion?","Dedicated national plan or strategy for fostering research and innovation for the public good, inclusive socioeconomic renewal, and improved societal wellbeing and cohesion.",6.2
TH61,Research and innovation for society|Research and innovation for developing countries,"What policy initiatives exist, if any, specifically dedicated to supporting research and innovation in developing and less technologically advanced countries?","Dedicated (or significant part of) scheme, programme or incentive to develop research and innovation and/or in partnership with developing countries. These could be part of Official Development Assistance (ODA) schemes targeting STI.
Initiatives to address the UN Sustainable Development Goals through research and innovation and/or in partnership with developing and less technologically advanced countries.
International technology transfer and capacity building schemes to the benefit of developing countries.
Cooperative and joint research and innovation programmes (or institution such as a jointly operated research 
centre) with developing countries.",6.3
TH66,"Research and innovation for society|Science, technology and innovation culture","What are the main policy initiatives for building understandings and a culture of science, innovation, creativity, and critical thinking in 
society?","Awareness campaigns or education initiatives (e.g. science days, exhibitions, broadcasting programmes etc.); integrated communication operations (including more participatory strategies or face-to-face communications); the promotion of exemplary STI achievements (e.g. awards, prizes etc.); S&T museums, etc.
Education initiatives encompassing the introduction of participatory learning techniques (e.g. hands-on learning exercises or mentorship at school etc.); major revisions of educational curricula or reforms of instructional practices in primary and secondary schools; innovation prizes and contests that have a wide audience.
Initiatives to support or incentivize the development of social and grassroots innovations initiated by civil society or community-based organisations.",6.4
